Individual ID,Cylindrical_type,Umbrella_type,Open_type,Compact_type,Erectibility
TMS14F1305P0013,1,0,0,0,0
TMS14F1225P0001,0,0,0,0,0
TMS14F1302P0014,0,1,0,0,0
TMS14F1195P0013,0,1,0,0,0
TMS14F1233P0005,0,1,0,0,0
TMS14F1151P0007,0,1,0,0,0
TMS14F1153P0005,0,1,0,0,0
TMS14F1147P0009,0,1,0,0,0
TMS14F1075P0005,0,1,0,0,0
TMS14F1301P0020,1,0,0,0,0
TMS14F1303P0006,0,1,0,0,0
TMS14F1290P0007,0,1,0,0,0
TMS14F1193P0001,0,0,0,0,0
TMS14F1288P0014,0,1,0,0,0
TMS14F1223P0008,0,1,0,0,0
TMS14F1300P0001,0,1,0,0,0
TMS14F1250P0008,0,1,0,0,0
TMS14F1270P0004,0,0,0,0,0
TMS14F1147P0002,0,0,0,0,0
TMS14F1195P0009,1,0,0,0,0
TMS14F1281P0017,0,1,0,0,0
TMS14F1301P0014,0,0,0,0,0
TMS14F1016P0002,0,1,0,0,0
TMS14F1304P0017,1,0,0,0,0
TMS14F1074P0005,0,1,0,0,0
TMS14F1090P0001,0,1,0,0,0
TMS14F1277P0008,0,0,0,0,0
TMS14F1146P0003,0,1,0,0,0
IITA-TMS-IBA070539,0,0,1,0,0
IITA-TMS-IBA070141,0,1,0,0,1
IITA-TMS-IBA070204,0,1,0,0,1
IITA-TMS-IBA070753,0,1,0,0,1
IITA-TMS-IBA070100,0,0,1,0,0
IITA-TMS-IBA070064,0,0,1,0,0
IITA-TMS-IBA070181,0,1,0,0,1
IITA-TMS-IBA070172,0,1,0,0,1
IITA-TMS-IBA070178,0,0,1,0,0
IITA-TMS-IBA070052,0,0,1,0,0
IITA-TMS-IBA070170,0,0,1,0,0
IITA-TMS-IBA070180,0,0,1,0,0
IITA-TMS-IBA070108,0,0,1,0,0
IITA-TMS-IBA070119,0,0,1,0,0
IITA-TMS-IBA070190,0,0,1,0,0
IITA-TMS-IBA070066,0,0,1,0,0
IITA-TMS-IBA070536,0,0,1,0,0
IITA-TMS-IBA070055,0,0,1,0,0
TMEB1,0,1,0,0,1
IITA-TMS-IBA061101,0,0,1,0,0
IITA-TMS-IBA061679,0,0,1,0,0
IITA-TMS-IBA061348,0,1,0,0,1
IITA-TMS-IBA061911,0,1,0,0,1
IITA-TMS-IBA050327,0,1,0,0,1
IITA-TMS-IBA050311,0,0,1,0,0
IITA-TMS-IBA051654,0,0,1,0,0
IITA-TMS-IBA051626,0,1,0,0,1
IITA-TMS-IBA051274,0,1,0,0,1
IITA-TMS-IBA051632,0,0,1,0,0
IITA-TMS-IBA050998,1,0,0,0,1
IITA-TMS-IBA051652,0,1,0,0,1
IITA-TMS-IBA051631,0,0,1,0,0
IITA-TMS-IBA050303,0,0,1,0,0
IITA-TMS-IBA051601,0,0,1,0,0
IITA-TMS-IBA050186,0,0,1,0,0
IITA-TMS-IBA050127,0,0,1,0,0
IITA-TMS-IBA051646,0,1,0,0,1
IITA-TMS-IBA050128,0,1,0,0,1
IITA-TMS-IBA050286,0,0,1,0,0
IITA-TMS-IBA051553,0,1,0,0,1
IITA-TMS-IBA051740,0,0,1,0,0
IITA-TMS-IBA051814,0,1,0,0,1
IITA-TMS-IBA050100,0,0,1,0,0
IITA-TMS-IBA051599,0,1,0,0,1
IITA-TMS-IBA051625,0,1,0,0,1
IITA-TMS-IBA051658,0,0,1,0,0
IITA-TMS-IBA051653,0,0,1,0,0
IITA-TMS-IBA030254,0,0,1,0,0
IITA-TMS-IBA030059,0,1,0,0,1
IITA-TMS-IBA030055A,0,0,1,0,0
IITA-TMS-IBA030276,0,1,0,0,1
IITA-TMS-IBA030273,0,1,0,0,1
IITA-TMS-IBA030006A,0,0,1,0,0
IITA-TMS-IBA030141,0,1,0,0,1
IITA-TMS-IBA030305,0,0,1,0,0
IITA-TMS-IBA030292,0,0,1,0,0
IITA-TMS-IBA030256,0,1,0,0,1
IITA-TMS-IBA030060A,0,1,0,0,1
IITA-TMS-IBA030284,0,1,0,0,1
IITA-TMS-IBA30555P3-2,0,0,1,0,0
IITA-TMS-IBA030264,0,1,0,0,1
IITA-TMS-IBA030075,0,1,0,0,1
