germplasmName,Dim.1,Dim.2
IITA-TMS-IBA011551,0.009137490245090665,8.740082316363969e-5
IITA-TMS-IBA011560,0.014748418034764042,0.0014953369333929273
IITA-TMS-IBA011635,0.014354368697619052,0.005976203441152687
IITA-TMS-IBA011659,0.0019733749054936566,4.2586812503804446e-5
IITA-TMS-IBA90853,0.01055303215717748,1.2693729419166274e-4
IITA-TMS-IBA920053,0.004723793684647993,0.023587340742233773
IITA-TMS-IBA920211,0.014814560390702555,0.003384638517980211
IITA-TMS-IBA920258,0.013323955641556346,0.032846155284217804
IITA-TMS-IBA920269,0.012162957646190143,0.002045007962086076
IITA-TMS-IBA010034,0.007933364098081378,0.0014899440142236802
IITA-TMS-IBA010040,0.012239022654879065,1.383160994854078e-6
IITA-TMS-IBA010045,0.014959382940100852,0.0013037620631039526
IITA-TMS-IBA010046,0.00247170469826425,0.007671089175233278
IITA-TMS-IBA010085,0.005653027874287263,0.028643126229200764
IITA-TMS-IBA010090,3.16567285767344e-7,3.809176017072081e-4
IITA-TMS-IBA010098,0.017833119353096515,0.002753527070233202
IITA-TMS-IBA010103,0.006159354609680244,0.010953188797991193
IITA-TMS-IBA010131,0.011634356939711522,0.007556662582338048
IITA-TMS-IBA010134,0.011460490117987212,5.398560179507018e-4
IITA-TMS-IBA010169,0.002628910850868117,0.007503050257063708
IITA-TMS-IBA010171,0.00817503623413619,0.017257495583347097
IITA-TMS-IBA010265,0.01155524071225098,0.011314330328979641
IITA-TMS-IBA010732,0.009984194919180116,1.5991777397704844e-5
IITA-TMS-IBA010760,0.016159545301786978,3.1246860329874987e-4
IITA-TMS-IBA010819,0.014098924194503464,0.012665750205838287
IITA-TMS-IBA010903,0.0045646269397315795,0.02989258452539452
IITA-TMS-IBA011086,0.004108785901079248,0.00286415980136549
IITA-TMS-IBA011097,0.007767645507107046,6.582171239538669e-4
IITA-TMS-IBA011731,0.0014208123695863843,0.0640647521970445
IITA-TMS-IBA011732,0.001337060620236582,0.06411030764252076
IITA-TMS-IBA011735,0.002535811870126462,0.07334772655644249
IITA-TMS-IBA011760,0.00441828757534907,4.979792714348211e-4
IITA-TMS-IBA011797,0.026970580450311123,0.0312320437114235
IITA-TMS-IBA011807,0.00685957499515473,0.0025982631905831937
IITA-TMS-IBA011813,0.009880497050357533,0.004138278172505811
IITA-TMS-IBA010536,0.016158003796603038,5.797300894496856e-4
IITA-TMS-IBA010615,6.673311356470889e-4,1.5652852255679904e-4
IITA-TMS-IBA010622,0.002005070426246385,0.0013686054672163185
IITA-TMS-IBA000203,0.008277818240680166,0.023959815690137085
IITA-TMS-IBA000210,0.006984755072452263,0.00369758279972098
IITA-TMS-IBA000211,0.015014811932413906,0.006244379490482537
IITA-TMS-IBA000214,6.449797946151874e-5,0.018740592314325427
IITA-TMS-IBA000222,0.01061171591292584,0.001609763936155585
IITA-TMS-IBA011802,0.0080460565155809,7.194728946497899e-4
IITA-TMS-IBA020091,0.014361507607665216,0.0036981124134534116
IITA-TMS-IBA020103,0.009437264545947349,7.214223118102647e-5
IITA-TMS-IBA020105,0.011583109656238919,0.0017827125098886323
IITA-TMS-IBA020129,0.01009383803501233,0.005745424576220095
IITA-TMS-IBA020131,0.007233907668997797,1.3065016212841153e-6
IITA-TMS-IBA020133,1.5065575641536444e-5,3.996120421337467e-5
IITA-TMS-IBA020134,0.007627112055656787,3.472738101574769e-4
IITA-TMS-IBA020233,0.006963389446443247,0.0015380657662774518
IITA-TMS-IBA020285,0.004033174419124461,0.04670910012297554
IITA-TMS-IBA020388,0.011840529362350374,0.011135630426546061
IITA-TMS-IBA020409,0.007504588719795021,0.0034672679191676183
IITA-TMS-IBA020431,0.015415629407816328,0.008654211655915072
IITA-TMS-IBA020432,0.010250887620292266,0.0012040683725311086
IITA-TMS-IBA020444,0.00765152227527101,3.475801174403641e-4
IITA-TMS-IBA020452,0.010803727608311314,0.004492374305674116
IITA-TMS-IBA030061,0.008615564453965753,0.004087929546749814
IITA-TMS-IBA030075,0.009350073043162519,2.1965330240734203e-4
IITA-TMS-IBA030141,0.016887615030837036,0.001957772137266962
IITA-TMS-IBA030177,5.852989875497114e-5,2.058103088739207e-5
IITA-TMS-IBA030213,0.00681763535172427,0.0015631657649426904
IITA-TMS-IBA9101730(4X),0.006645399730117486,0.039184738161969844
IITA-TMS-IBA9102316(4X),0.013780550730698603,3.027532330338307e-4
IITA-TMS-IBA9102325(4X),0.013490170456658429,3.506852570924294e-4
IITA-TMS-IBA91934(4X),0.005979470629211756,0.042918776262324966
IITA-TMS-IBA920057(4X),0.007238451016891226,0.0017575447293527438
IITA-TMS-IBA920067(4X),0.01545682732650178,0.0023441916214824304
IITA-TMS-IBA010606,0.002668000767304865,0.007553128583210647
IITA-TMS-IBA011752,0.03006102518392614,0.06710029763571837
IITA-TMS-IBA83672,0.01017688196978426,0.006058384713927052
IITA-TMS-IBA8801504,0.014511159774076595,0.024379516283913515
IITA-TMS-IBA020527,0.013108788156492865,0.03158191180586608
IITA-TMS-IBA020588,0.009782934002880711,0.009736530330624335
IITA-TMS-IBA020570,0.009927136199934995,0.009485269488617025
IITA-TMS-IBA020516,0.016453734448091367,1.2962906694267756e-4
IITA-TMS-IBA020510,0.01121828421919407,0.01456244361343466
IITA-TMS-IBA020514,0.00716574512600443,0.03935454316964409
IITA-TMS-IBA020540,0.002148047584053179,7.039410769620203e-5
IITA-TMS-IBA030242,0.00192905756264105,0.007077269724616036
IITA-TMS-IBA030275,0.0015279083547991784,0.021651513007542988
IITA-TMS-IBA030264,0.008099179528689951,8.147729591159684e-4
IITA-TMS-IBA030292,0.0010926320228655051,0.0013574681736261763
IITA-TMS-IBA030265,0.0011463860639965738,0.016399137282603754
