Trials,VarG,VarE,Mean,H2,CV,PEV,Ac
18.GS.C1.UYT.34.IK,0.0220767665808289,0.918305771014264,1.78179557411681,0.213539172513754,0.537818554323963,0.0173848312746085,0.461007801330296
18.GS.C1.UYT.34.OT,0,1.08466382916433,1.42519072164948,0,0.73075970627175,0,NA
18.GS.C2.UYT.36.setB.AG,0,1.36514477509265,1.89461224489796,0,0.616692995666195,0,NA
19CET400Kabangwe,0,0.0964132555784545,0.954357682619648,0,0.325354786279771,0,NA
17.GS.C1.UYT.34.UM,0,1.48688661944862,1.84861,0,0.659619716612471,0,NA
18.GS.C1.UYT.34.UM,0,1.40740966854636,1.840075,0,0.644725340538236,0,NA
17.GS.C1.UYT.34.IK,0,1.01972988960903,1.90441191066997,0,0.530251231235351,0,NA
16.GS.C1.UYT.34.MK,0,0.875463207592619,1.58892156862745,0,0.588866012823645,0,NA
16.GS.C1.UYT.34.UB,0,1.42046252107723,1.65759803921569,0,0.71901121642113,0,NA
17.GS.C1.UYT.34.MK,0,0.876480633756084,1.58742892156863,0,0.589762118784054,0,NA
17.GS.C1.UYT.34.UB,0,1.42303157621525,1.65603431372549,0,0.720340672791325,0,NA
19.GS.C4B.PYT.78.MK,0,1.32815407776032,1.8001686746988,0,0.640193160226558,0,NA
11clonal63cpUM,0,1.32131880305741,2.67227906976744,0,0.430152050507107,0,NA
20AYTintroLatAmeUmudike,0,0.932063648875203,1.35280369515012,0,0.713654493085321,0,NA
20AYTintroLatAmekano,0,1.95160185670511,1.89825733634311,0,0.735936807194753,0,NA
17.GS.C3.PYT.60.UB,0,1.77560522798143,1.81686521739131,0,0.733416196946052,0,NA
18C1bAYTGSset1umu,0,1.46937832025219,2.01664536082474,0,0.60108692650038,0,NA
10cetNR10BseriesUM,0.181462540607643,0.601554213268043,1.98397328898989,0.601804286402988,0.390932309950498,0.0747943695708891,0.76669729461298
19.GS.C4B.PYT.88.MK,0,1.38062127028343,1.73056487025948,0,0.678968141026297,0,NA
13AYT259mpopdOtobi,0,0.931323132313238,2.59090909090909,0,0.372475764512479,0,NA
18C1bAYTGSkano,0,1.41717571491228,1.82952046783626,0,0.650690667954797,0,NA
13NEXTgenC0IB,0,0.546716756730884,0.851568306010929,0,0.868283809941755,0,NA
14.GS.C0.PYT.88.IK,0,0.997726813921833,2.03667625899281,0,0.490437670637855,0,NA
13pytdiallelIB,0.238772489440849,0.314143034085979,1.45407037095239,0.593076565967151,0.385459090114644,0.0983152090075206,0.766972838088303
13CET261umu,0.345299240027085,0.820800060042432,2.96204012608643,0.477870394983475,0.305863569298177,0.186944157452372,0.677201937987246
17C1bCETkano,0,0.883732573371541,2.05605670103093,0,0.457220131446072,0,NA
19.GS.C4B.PYT.135.IK,0,1.06107967637642,2.53215682967959,0,0.406802298252433,0,NA
19.GS.C4B.PYT.160.AB,0,1.89475514746799,2.05833333333333,0,0.668745450595708,0,NA
19.GS.C4.PYT.80.SETB.IK,0,1.01970400419026,1.69146655791191,0,0.596999059022612,0,NA
17.GS.C3.PYT.80.IB,0,0.98505014075512,1.66717903225806,0,0.595315141977127,0,NA
16C1aCETnonGSKano,0.0133931595527365,0.98806523836876,1.86789213645448,0.0293328286535546,0.532158515965984,0.0130069505075458,0.169812516968721
19.GS.C4.PYT.80.SETA.IK,0,0.909185337476925,1.5254048,0,0.625087915432778,0,NA
16.GS.C0.C1.AYT.58.IB,0,1.08697583596065,2.05086153846154,0,0.508362614182898,0,NA
16.GS.C0.C1.AYT.58.IK,0,1.14583855683299,2.14288109756098,0,0.499532376915858,0,NA
