repeats,id,predOf,Trait,Accuracy,Model
1,Fold5,GEBV,PlantHeight,0.27274198923442095,Additive_Dom
1,Fold5,GETGV,PlantHeight,0.25840093212258713,Additive_Dom
1,Fold5,GEBV,Cylindrical_type,0.2690299129110588,Additive_Dom
1,Fold5,GETGV,Cylindrical_type,0.17472545769716466,Additive_Dom
1,Fold5,GEBV,Umbrella_type,NA,Additive_Dom
1,Fold5,GETGV,Umbrella_type,0.10608400996245312,Additive_Dom
1,Fold5,GEBV,Open_type,0.20484508139527682,Additive_Dom
1,Fold5,GETGV,Open_type,0.23447723061865586,Additive_Dom
1,Fold5,GEBV,Compact_type,-0.045504942221219404,Additive_Dom
1,Fold5,GETGV,Compact_type,0.06629258554066803,Additive_Dom
2,Fold1,GEBV,BranchlevelNum,0.4479742572877615,Additive_Dom
2,Fold1,GETGV,BranchlevelNum,0.44641581446977696,Additive_Dom
2,Fold1,GEBV,FirstBranchHeight,0.24913052583344453,Additive_Dom
2,Fold1,GETGV,FirstBranchHeight,0.24913052583344453,Additive_Dom
2,Fold1,GEBV,PlantHeight,0.3171891271514168,Additive_Dom
2,Fold1,GETGV,PlantHeight,0.3203401124689053,Additive_Dom
2,Fold1,GEBV,Cylindrical_type,0.14479390233251035,Additive_Dom
2,Fold1,GETGV,Cylindrical_type,0.026252675156844745,Additive_Dom
2,Fold1,GEBV,Umbrella_type,NA,Additive_Dom
2,Fold1,GETGV,Umbrella_type,-0.006970235393171181,Additive_Dom
2,Fold1,GEBV,Open_type,0.33633020446977135,Additive_Dom
2,Fold1,GETGV,Open_type,0.2978008974502364,Additive_Dom
2,Fold1,GEBV,Compact_type,0.037941097629354534,Additive_Dom
2,Fold1,GETGV,Compact_type,0.07722587686432117,Additive_Dom
2,Fold2,GEBV,BranchlevelNum,0.44726700039597306,Additive_Dom
2,Fold2,GETGV,BranchlevelNum,0.43114693075397087,Additive_Dom
2,Fold2,GEBV,FirstBranchHeight,0.23072881800965925,Additive_Dom
2,Fold2,GETGV,FirstBranchHeight,0.23072881800965925,Additive_Dom
2,Fold2,GEBV,PlantHeight,0.23008683413717912,Additive_Dom
2,Fold2,GETGV,PlantHeight,0.22814846515364692,Additive_Dom
