Trait,Trial,VarG,VarE,Mean,H2,CV,PEV,Ac
PlantHeight,18.GS.C4B.CET.600.setA.IK,0.000246458608999863,0.148742327079781,1.88399999999999,0,0.20470874105857,0.000242679739321752,0.1
PlantHeight,18.GS.C4B.CET.600.setB.IK,0.0956146642700053,0.146979566366411,3.0334,0.9,0.126385950352355,0.0125363849228951,0.9
PlantHeight,20.GS.C5.CE.820.IB,0.0106313236005409,0.0178703856042723,0.584666666666667,0.8,0.228643377871906,0.00262017706957872,0.9
PlantHeight,19.GS.C4C.CE.822.IB,0.0208012415791806,0.0424375829408404,2.06351691993579,0.8,0.0998314285981236,0.00535500117289888,0.9
PlantArchitecture,19cet30PdIB,0,0.25,4,0,0.125,0,NA
PlantArchitecture,18CET122highTCIK,0.125,4.93702671026806e-16,2.25,1,9.8752982367397e-09,2.46851335513402e-16,1
PlantArchitecture,19C2bCETnonGSumu,4.66666668304723,0.16666666610182,3.33333333333329,1,0.122474486931622,0.0818713447616807,1
PlantArchitecture,19cet72selflineIB,0.187082869384677,0.0462504639554028,3.33333333333333,0.8,0.0645177631043286,0.03502016051875,0.9
PlantArchitecture,21.CET.96.YRT.HAWAII.IB,0.0277777779081018,0.138888888807436,3.66666666666667,0.4,0.101639453492914,0.0154320988016332,0.7
PlantArchitecture,18CET416highDMIK,0.0500000016969615,0.149999999272731,2.5,0.7,0.154919333472737,0.0156250001212115,0.8
PlantArchitecture,18clonalevalPDIB,0,0,1,NA,0,0,NA
PlantArchitecture,15.GS.C1.CE.293.IB,0.764043968560417,0.0455377893259056,3.40363573954488,1,0.0626964421484399,0.0395595579073713,1
PlantArchitecture,21.CET.171.CIAT.IB,0.0317460326558032,0.206349205876125,3.33333333333333,0.5,0.136277028617633,0.0152851265889743,0.7
PlantArchitecture,15.GS.C1.CE.329.MK,0.653638740794518,0.121338958667405,2.37716165646913,0.9,0.146535015724647,0.0871724473313547,0.9
PlantArchitecture,21cet284highTCIB,0.069696972187492,0.172727272232639,3.33333333333332,0.8,0.124681412010522,0.0128152493211123,0.9
PlantArchitecture,16C1aCETnonGSKano,0.61722759749734,1.19738661438548,3.26557071442148,0.8,0.335087406971003,0.181069145944802,0.8
PlantArchitecture,21cet325highTCIB,2.12542796027034e-06,0.0799978752071321,3.99999999999999,0,0.0707097390777662,2.1247129202728e-06,0
PlantArchitecture,16.GS.C3.CET.259.IB,0.319845197524014,0.522394242993179,1.3421452399975,0.7,0.538517319770895,0.0871416792356029,0.9
PlantArchitecture,17clonalevaIB,0.186587777385806,0.882051280372443,3.33333333333333,0.7,0.281752755502976,0.0497567393577139,0.9
PlantArchitecture,17clonalevalpdIB,0,0.105555555555556,1.99999999999999,0,0.162446572413484,0,NA
PlantArchitecture,19C2bCETGSumu,1.88518526909941,2.01481480590763,2.99999999999999,0.9,0.473147241107371,0.182027110587947,1
PlantArchitecture,18clonalevalHighTCIB,0,0.1125,2.99999999999998,0,0.11180339887499,0,NA
PlantArchitecture,19introLatAmeumu,2.68333337534438,1.33749999864888,3.00000000000001,1,0.385501116679298,0.0810682352530436,1
PlantArchitecture,18.GS.C4B.CET.560.IK,1.42568068150826,0.474296222940029,2.4,1,0.286954864500364,0.0468862288279711,1
PlantArchitecture,18.GS.C4B.CET.600.setA.IK,0,1.39,2.2,0,0.53590118738871,0,NA
PlantArchitecture,18.GS.C4B.CET.600.setB.IK,1.62099910880937,0.431959388252307,2.40000000000001,1,0.273848405782029,0.0413278411651937,1
PlantArchitecture,17clonalevalhighdmyldIB,0.974821469390736,0.258928571236001,1.99999999999935,1,0.254425122205025,0.00433999417251225,1
PlantArchitecture,18clonalevalHighDMIB,0.495438715737259,0.346666665564438,2.50000000000001,1,0.235513622727666,0.00451979070051698,1
PlantArchitecture,19.GS.C4C.CE.822.IB,0.328023970232974,0.664929233975333,1.95844989775467,0.8,0.41636599019555,0.0840729848324645,0.9
